"OC_CODICE_PROGRAMMA";"x_CICLO";"x_AMBITO";"x_GRUPPO";"x_PROGRAMMA";"FLT";"NOTE"
"2018POFSCEMROM";"2014-2020";"FSC";"PATTI";"PATTO EMILIA-ROMAGNA";"EMILIA-ROMAGNA";
"2018POFSCBO";"2014-2020";"FSC";"PATTI";"PATTO BOLOGNA";"EMILIA-ROMAGNA";
"2016PATTIMES";"2014-2020";"FSC";"PATTI";"PATTO MESSINA";"SICILIA";
"2016PATTIVEN";"2014-2020";"FSC";"PATTI";"PATTO VENEZIA";"VENETO";
"2016PATTIABR";"2014-2020";"FSC";"PATTI";"PATTO ABRUZZO";"ABRUZZO";
"2016PATTICAL";"2014-2020";"FSC";"PATTI";"PATTO CALABRIA";"CALABRIA";
"2016PATTICAMP";"2014-2020";"FSC";"PATTI";"PATTO CAMPANIA";"CAMPANIA";
"2016PATTIMOL";"2014-2020";"FSC";"PATTI";"PATTO MOLISE";"MOLISE";
"2016PATTISARD";"2014-2020";"FSC";"PATTI";"PATTO SARDEGNA";"SARDEGNA";
"2016PATTIBASIL";"2014-2020";"FSC";"PATTI";"PATTO BASILICATA";"BASILICATA";
"2016PATTIBARI";"2014-2020";"FSC";"PATTI";"PATTO BARI";"PUGLIA";
"2016PATTICAGL";"2014-2020";"FSC";"PATTI";"PATTO CAGLIARI";"SARDEGNA";
"2016PATTICAT";"2014-2020";"FSC";"PATTI";"PATTO CATANIA";"SICILIA";
"2016PATTIFIR";"2014-2020";"FSC";"PATTI";"PATTO FIRENZE";"TOSCANA";
"2016PATTIGEN";"2014-2020";"FSC";"PATTI";"PATTO GENOVA";"LIGURIA";
"2016PATTILAZ";"2014-2020";"FSC";"PATTI";"PATTO LAZIO";"LAZIO";
"2016PATTILOMB";"2014-2020";"FSC";"PATTI";"PATTO LOMBARDIA";"LOMBARDIA";
"2016PATTIMIL";"2014-2020";"FSC";"PATTI";"PATTO MILANO";"LOMBARDIA";
"2016PATTINAP";"2014-2020";"FSC";"PATTI";"PATTO NAPOLI";"CAMPANIA";
"2016PATTIPAL";"2014-2020";"FSC";"PATTI";"PATTO PALERMO";"SICILIA";
"2016PATTIPUG";"2014-2020";"FSC";"PATTI";"PATTO PUGLIA";"PUGLIA";
"2016PATTISICI";"2014-2020";"FSC";"PATTI";"PATTO SICILIA";"SICILIA";
"2018FREJUSFSC";"2014-2020";"FSC";"ALTRO";"TRAFORO FREJUS";"NAZ";
"2017NAPOLI-POZZ";"2014-2020";"FSC";"ALTRO";"COLLEGAMENTO PORTO DI POZZUOLI";"NAZ";
"2015XMINTFSC016";"2014-2020";"FSC";"ALTRO";"PIANO SICUREZZA URBANA ROMA";"NAZ";"x_CICLO era 2007-2013"
"2012XMITRFSC005";"2014-2020";"FSC";"ALTRO";"LINEA METROPOLITANA DI MILANO M5";"NAZ";
"2014IT16M2OP001";"2014-2020";"FESR-FSE";"POR";"POR MOLISE FESR FSE";"MOLISE";
"2014IT16M2OP002";"2014-2020";"FESR-FSE";"POR";"POR PUGLIA FESR FSE";"PUGLIA";
"2014IT16M2OP006";"2014-2020";"FESR-FSE";"POR";"POR CALABRIA FESR FSE";"CALABRIA";
"2014IT16M2OP003";"2014-2020";"FESR-FSE";"PON";"PON LEGALITA'";"NAZ";
"2014IT16M2OP004";"2014-2020";"FESR-FSE";"PON";"PON METRO";"NAZ";
"2014IT16M2OP005";"2014-2020";"FESR-FSE";"PON";"PON RICERCA";"NAZ";
"2014IT05M2OP001";"2014-2020";"FESR-FSE";"PON";"PON SCUOLA";"NAZ";
"2014IT05M2OP002";"2014-2020";"FESR-FSE";"PON";"PON GOVERNANCE";"NAZ";
"2014IT16RFOP004";"2014-2020";"FESR";"POR";"POR ABRUZZO FESR";"ABRUZZO";
"2014IT16RFOP005";"2014-2020";"FESR";"POR";"POR PA BOLZANO FESR";"PA BOLZANO";
"2014IT16RFOP007";"2014-2020";"FESR";"POR";"POR CAMPANIA FESR";"CAMPANIA";
"2014IT16RFOP008";"2014-2020";"FESR";"POR";"POR EMILIA-ROMAGNA FESR";"EMILIA-ROMAGNA";
"2014IT16RFOP009";"2014-2020";"FESR";"POR";"POR FRIULI-VENEZIA GIULIA FESR";"FRIULI-VENEZIA GIULIA";
"2014IT16RFOP010";"2014-2020";"FESR";"POR";"POR LAZIO FESR";"LAZIO";
"2014IT16RFOP011";"2014-2020";"FESR";"POR";"POR LIGURIA FESR";"LIGURIA";
"2014IT16RFOP012";"2014-2020";"FESR";"POR";"POR LOMBARDIA FESR";"LOMBARDIA";
"2014IT16RFOP013";"2014-2020";"FESR";"POR";"POR MARCHE FESR";"MARCHE";
"2014IT16RFOP014";"2014-2020";"FESR";"POR";"POR PIEMONTE FESR";"PIEMONTE";
"2014IT16RFOP015";"2014-2020";"FESR";"POR";"POR SARDEGNA FESR";"SARDEGNA";
"2014IT16RFOP016";"2014-2020";"FESR";"POR";"POR SICILIA FESR";"SICILIA";
"2014IT16RFOP017";"2014-2020";"FESR";"POR";"POR TOSCANA FESR";"TOSCANA";
"2014IT16RFOP018";"2014-2020";"FESR";"POR";"POR PA TRENTO FESR";"PA TRENTO";
"2014IT16RFOP019";"2014-2020";"FESR";"POR";"POR UMBRIA FESR";"UMBRIA";
"2014IT16RFOP020";"2014-2020";"FESR";"POR";"POR VALLE D'AOSTA FESR";"VALLE D'AOSTA";
"2014IT16RFOP021";"2014-2020";"FESR";"POR";"POR VENETO FESR";"VENETO";
"2014IT16RFOP022";"2014-2020";"FESR";"POR";"POR BASILICATA FESR";"BASILICATA";
"2015IT16RFSM001";"2014-2020";"FESR";"PON";"PON INIZIATIVA PMI";"NAZ";
"2014IT16RFOP001";"2014-2020";"FESR";"PON";"PON CULTURA";"NAZ";
