"OC_CODICE_PROGRAMMA";"x_CICLO";"x_FONDO";"x_AMBITO";"x_GRUPPO";"x_PROGRAMMA";"NOTE"
"2014IT05SFOP002";"2014-2020";"PROGRAMMI FSE";"FSE";"PON";"PON POLITICHE ATTIVE";
"2016LOAMPSAP06";"2014-2020";"PROGRAMMI FSC";"FSC";"PIANI STRALCIO";"PS AREE METROPOLITANE LOMBARDIA";
"2016ABAMPSAP01";"2014-2020";"PROGRAMMI FSC";"FSC";"PIANI STRALCIO";"PS AREE METROPOLITANE ABRUZZO";
"2016EMAMPSAP02";"2014-2020";"PROGRAMMI FSC";"FSC";"PIANI STRALCIO";"PS AREE METROPOLITANE EMILIA ROMAGNA";
"2016LIAMPSAP03";"2014-2020";"PROGRAMMI FSC";"FSC";"PIANI STRALCIO";"PS AREE METROPOLITANE LIGURIA";
"2016SAAMPSAP04";"2014-2020";"PROGRAMMI FSC";"FSC";"PIANI STRALCIO";"PS AREE METROPOLITANE SARDEGNA";
"2016TOAMPSAP05";"2014-2020";"PROGRAMMI FSC";"FSC";"PIANI STRALCIO";"PS AREE METROPOLITANE TOSCANA";
"2016VEAMPSAP07";"2014-2020";"PROGRAMMI FSC";"FSC";"PIANI STRALCIO";"PS AREE METROPOLITANE VENETO";
"2018CAPCULTFSC";"2014-2020";"PROGRAMMI FSC";"FSC";"PIANI STRALCIO";"CAPITALI ITALIANE DELLA CULTURA";
"2018FSCGIOVIMP";"2014-2020";"PROGRAMMI FSC";"FSC";"PIANI STRALCIO";"GIOVANI IMPRENDITORI NEL MEZZOGIORNO";
"2018FSCVOUCHER";"2014-2020";"PROGRAMMI FSC";"FSC";"PIANI STRALCIO";"VOUCHER DIGITALIZZAZIONE PMI";
"2017PPORTTARFSC";"2014-2020";"PROGRAMMI FSC";"FSC";"PIANI STRALCIO";"PIASTRA PORTUALE DI TARANTO";
"2017FSCRICERCA";"2014-2020";"PROGRAMMI FSC";"FSC";"PIANI STRALCIO";"PIANO STRALCIO RICERCA E INNOVAZIONE";
"2017PALGIURCFSC";"2014-2020";"PROGRAMMI FSC";"FSC";"PIANI STRALCIO";"PALAZZO DI GIUSTIZIA DI REGGIO CALABRIA";
"2016XXPCMFSC002";"2014-2020";"PROGRAMMI FSC";"FSC";"PIANI STRALCIO";"CITTADELLA GIUDIZIARIA DI SALERNO";
"2015MBACTFSC017";"2014-2020";"PROGRAMMI FSC";"FSC";"PIANI STRALCIO";"PROGRAMMA SENSI CONTEMPORANEI";
"2015MSIAIFSC011";"2014-2020";"PROGRAMMI FSC";"FSC";"PIANI STRALCIO";"CONTRATTI DI SVILUPPO";
"2016MBCSGFSC006";"2014-2020";"PROGRAMMI FSC";"FSC";"PIANI STRALCIO";"PIANO STRALCIO CULTURA E TURISMO";
"2017POAMBIENFSC";"2014-2020";"PROGRAMMI FSC";"FSC";"PIANI OPERATIVI";"PIANO OPERATIVO FSC AMBIENTE";
"2017POINFRASFSC";"2014-2020";"PROGRAMMI FSC";"FSC";"PIANI OPERATIVI";"PIANO OPERATIVO FSC INFRASTRUTTURE";
"2017POIMPCOMFSC";"2014-2020";"PROGRAMMI FSC";"FSC";"PIANI OPERATIVI";"PIANO OPERATIVO FSC IMPRESE E COMPETITIVITA'";
"2017POAGRICOFSC";"2014-2020";"PROGRAMMI FSC";"FSC";"PIANI OPERATIVI";"PIANO OPERATIVO FSC AGRICOLTURA";
"2016PATTIRC";"2014-2020";"PROGRAMMI FSC";"FSC";"PATTI";"PATTO REGGIO CALABRIA";
"2018POFSCEMROM";"2014-2020";"PROGRAMMI FSC";"FSC";"PATTI";"PATTO EMILIA-ROMAGNA";
"2018POFSCBO";"2014-2020";"PROGRAMMI FSC";"FSC";"PATTI";"PATTO BOLOGNA";
"2016PATTIMES";"2014-2020";"PROGRAMMI FSC";"FSC";"PATTI";"PATTO MESSINA";
"2016PATTIVEN";"2014-2020";"PROGRAMMI FSC";"FSC";"PATTI";"PATTO VENEZIA";
"2016PATTIABR";"2014-2020";"PROGRAMMI FSC";"FSC";"PATTI";"PATTO ABRUZZO";
"2016PATTICAL";"2014-2020";"PROGRAMMI FSC";"FSC";"PATTI";"PATTO CALABRIA";
"2016PATTICAMP";"2014-2020";"PROGRAMMI FSC";"FSC";"PATTI";"PATTO CAMPANIA";
"2016PATTIMOL";"2014-2020";"PROGRAMMI FSC";"FSC";"PATTI";"PATTO MOLISE";
"2016PATTISARD";"2014-2020";"PROGRAMMI FSC";"FSC";"PATTI";"PATTO SARDEGNA";
"2016PATTIBASIL";"2014-2020";"PROGRAMMI FSC";"FSC";"PATTI";"PATTO BASILICATA";
"2016PATTIBARI";"2014-2020";"PROGRAMMI FSC";"FSC";"PATTI";"PATTO BARI";
"2016PATTICAGL";"2014-2020";"PROGRAMMI FSC";"FSC";"PATTI";"PATTO CAGLIARI";
"2016PATTICAT";"2014-2020";"PROGRAMMI FSC";"FSC";"PATTI";"PATTO CATANIA";
